number,last_update,available_bikes,available_bike_stands,status
1,2025-02-25 21:16:26,3,28,OPEN
2,2025-02-25 21:22:27,5,15,OPEN
3,2025-02-25 21:15:22,3,17,OPEN
4,2025-02-25 21:24:17,2,18,OPEN
5,2025-02-25 21:21:16,34,6,OPEN
6,2025-02-25 21:16:16,7,13,OPEN
7,2025-02-25 21:16:57,10,19,OPEN
8,2025-02-25 21:21:46,20,10,OPEN
9,2025-02-25 21:20:35,0,24,OPEN
10,2025-02-25 21:23:29,12,4,OPEN
11,2025-02-25 21:24:36,0,30,OPEN
12,2025-02-25 21:16:57,13,7,OPEN
13,2025-02-25 21:18:26,1,29,OPEN
14,2025-02-25 21:19:33,25,5,OPEN
15,2025-02-25 21:20:41,1,15,OPEN
16,2025-02-25 21:20:24,16,4,OPEN
17,2025-02-25 21:23:14,1,19,OPEN
18,2025-02-25 21:17:09,8,22,OPEN
19,2025-02-25 21:22:39,1,29,OPEN
20,2025-02-25 21:19:15,0,30,OPEN
21,2025-02-25 21:15:36,12,18,OPEN
22,2025-02-25 21:16:34,6,14,OPEN
23,2025-02-25 21:19:41,27,3,OPEN
24,2025-02-25 21:21:05,15,5,OPEN
25,2025-02-25 21:24:27,0,30,OPEN
26,2025-02-25 21:19:19,3,17,OPEN
27,2025-02-25 21:24:47,0,20,OPEN
28,2025-02-25 21:19:42,23,7,OPEN
29,2025-02-25 21:20:22,1,27,OPEN
30,2025-02-25 21:23:46,5,15,OPEN
31,2025-02-25 21:24:52,13,7,OPEN
32,2025-02-25 21:24:29,20,10,OPEN
33,2025-02-25 21:21:27,14,9,OPEN
34,2025-02-25 21:18:00,30,0,OPEN
35,2025-02-25 21:20:41,25,5,OPEN
36,2025-02-25 21:17:00,0,40,OPEN
37,2025-02-25 21:17:04,0,30,OPEN
38,2025-02-25 21:23:05,37,2,OPEN
39,2025-02-25 21:18:51,4,16,OPEN
40,2025-02-25 21:21:59,2,19,OPEN
41,2025-02-25 21:24:37,3,17,OPEN
42,2025-02-25 21:19:07,29,1,OPEN
43,2025-02-25 21:15:58,29,1,OPEN
44,2025-02-25 21:23:22,12,18,OPEN
45,2025-02-25 21:23:34,24,6,OPEN
47,2025-02-25 21:23:26,0,40,OPEN
48,2025-02-25 21:24:34,34,6,OPEN
49,2025-02-25 21:20:23,37,3,OPEN
50,2025-02-25 21:23:03,30,10,OPEN
51,2025-02-25 21:22:11,0,0,OPEN
52,2025-02-25 21:16:47,12,20,OPEN
53,2025-02-25 21:22:38,0,40,OPEN
54,2025-02-25 21:22:27,1,32,OPEN
55,2025-02-25 21:17:12,0,36,OPEN
56,2025-02-25 21:23:34,4,36,OPEN
57,2025-02-25 21:22:44,6,17,OPEN
58,2025-02-25 21:23:42,13,27,OPEN
59,2025-02-25 21:17:09,0,20,OPEN
60,2025-02-25 21:16:54,30,0,OPEN
61,2025-02-25 21:24:44,1,24,OPEN
62,2025-02-25 21:23:25,18,22,OPEN
63,2025-02-25 21:19:08,26,9,OPEN
64,2025-02-25 21:23:57,31,9,OPEN
65,2025-02-25 21:18:58,5,34,OPEN
66,2025-02-25 21:15:38,22,18,OPEN
67,2025-02-25 21:23:56,14,26,OPEN
68,2025-02-25 21:19:32,2,38,OPEN
69,2025-02-25 21:24:12,18,22,OPEN
71,2025-02-25 21:15:30,5,35,OPEN
72,2025-02-25 21:18:52,4,27,OPEN
73,2025-02-25 21:23:58,2,28,OPEN
74,2025-02-25 21:25:16,7,23,OPEN
75,2025-02-25 21:20:23,16,24,OPEN
76,2025-02-25 21:23:11,12,26,OPEN
77,2025-02-25 21:22:23,12,17,OPEN
78,2025-02-25 21:22:11,6,34,OPEN
79,2025-02-25 21:18:38,1,26,OPEN
80,2025-02-25 21:16:45,3,37,OPEN
82,2025-02-25 21:19:04,12,10,OPEN
83,2025-02-25 21:17:58,24,16,OPEN
84,2025-02-25 21:22:22,10,20,OPEN
85,2025-02-25 21:25:16,27,8,OPEN
86,2025-02-25 21:23:25,38,0,OPEN
87,2025-02-25 21:24:11,5,33,OPEN
88,2025-02-25 21:23:31,20,10,OPEN
89,2025-02-25 21:19:50,0,40,OPEN
90,2025-02-25 21:21:40,5,35,OPEN
91,2025-02-25 21:16:55,19,11,OPEN
92,2025-02-25 21:23:29,40,0,OPEN
93,2025-02-25 21:16:48,27,13,OPEN
94,2025-02-25 21:19:34,36,4,OPEN
95,2025-02-25 21:22:06,27,13,OPEN
96,2025-02-25 21:16:11,12,18,OPEN
97,2025-02-25 21:24:42,24,16,OPEN
98,2025-02-25 21:25:09,1,39,OPEN
99,2025-02-25 21:18:06,9,20,OPEN
100,2025-02-25 21:22:54,24,1,OPEN
101,2025-02-25 21:24:35,17,13,OPEN
102,2025-02-25 21:20:31,10,30,OPEN
103,2025-02-25 21:16:14,3,37,OPEN
104,2025-02-25 21:18:33,0,40,OPEN
105,2025-02-25 21:19:13,1,35,OPEN
106,2025-02-25 21:23:06,8,32,OPEN
107,2025-02-25 21:15:33,18,22,OPEN
108,2025-02-25 21:15:35,3,32,OPEN
109,2025-02-25 21:20:39,29,0,OPEN
110,2025-02-25 21:23:50,6,34,OPEN
111,2025-02-25 21:16:20,1,39,OPEN
112,2025-02-25 21:24:50,27,3,OPEN
113,2025-02-25 21:21:52,0,29,OPEN
114,2025-02-25 21:23:07,0,40,OPEN
115,2025-02-25 21:22:59,30,0,OPEN
116,2025-02-25 21:21:17,20,10,OPEN
117,2025-02-25 21:21:19,4,36,OPEN
