id,date,number,name,address,latitude,longitude,timezone,timezone_offset,sunrise,sunset,moonrise,moonset,moon_phase,summary,temp_day,temp_min,temp_max,temp_night,temp_eve,temp_morn,feels_like_day,feels_like_night,feels_like_eve,feels_like_morn,pressure_hPa,humidity_percent,dew_point_C,wind_speed_mps,wind_deg,wind_gust_mps,cloud_coverage_percent,pop,uvi,weather_id,weather_main,weather_description,weather_icon,rain,snow
1,2025-02-23 12:00:00,1,CLARENDON ROW,Clarendon Row,53.3409,-6.2625,Europe/Dublin,0,2025-02-23 07:26:13,2025-02-23 17:50:56,2025-02-23 05:38:00,2025-02-23 11:32:00,0.84,Expect a day of partly cloudy with rain,12.1,8.57,12.33,8.57,10.48,10.13,11.66,4.82,9.7,9.24,999,88,9.63,12.14,182,24.88,100,1.0,0.53,501,Rain,moderate rain,10d,,
2,2025-02-24 12:00:00,1,CLARENDON ROW,Clarendon Row,53.3409,-6.2625,Europe/Dublin,0,2025-02-24 07:24:00,2025-02-24 17:52:52,2025-02-24 06:20:00,2025-02-24 12:47:00,0.87,Expect a day of partly cloudy with rain,9.97,4.6,10.87,4.6,7.32,7.73,7.79,0.64,4.88,4.46,1007,70,4.17,7.84,227,16.08,70,1.0,1.19,501,Rain,moderate rain,10d,,
3,2025-02-25 12:00:00,1,CLARENDON ROW,Clarendon Row,53.3409,-6.2625,Europe/Dublin,0,2025-02-25 07:21:46,2025-02-25 17:54:47,2025-02-25 06:50:00,2025-02-25 14:14:00,0.91,Expect a day of partly cloudy with rain,7.84,3.66,8.49,3.66,5.35,4.15,4.61,0.74,2.19,-0.31,1014,73,2.87,6.3,248,14.13,100,0.7,1.06,500,Rain,light rain,10d,,
4,2025-02-26 12:00:00,1,CLARENDON ROW,Clarendon Row,53.3409,-6.2625,Europe/Dublin,0,2025-02-26 07:19:31,2025-02-26 17:56:42,2025-02-26 07:10:00,2025-02-26 15:47:00,0.94,Expect a day of partly cloudy with rain,7.34,2.17,7.74,2.17,4.35,5.17,3.35,-1.74,1.26,0.93,1012,73,2.43,7.53,268,13.33,56,1.0,0.25,500,Rain,light rain,10d,,
5,2025-02-27 12:00:00,1,CLARENDON ROW,Clarendon Row,53.3409,-6.2625,Europe/Dublin,0,2025-02-27 07:17:15,2025-02-27 17:58:37,2025-02-27 07:24:00,2025-02-27 17:21:00,0.98,Expect a day of partly cloudy with clear spells,7.63,0.21,8.99,3.88,4.73,0.5,5.76,2.14,4.73,-3.01,1025,71,2.14,3.87,257,7.98,13,0.0,1.49,801,Clouds,few clouds,02d,,
6,2025-02-28 12:00:00,1,CLARENDON ROW,Clarendon Row,53.3409,-6.2625,Europe/Dublin,0,2025-02-28 07:14:58,2025-02-28 18:00:32,2025-02-28 07:36:00,2025-02-28 18:53:00,0.0,Expect a day of partly cloudy with clear spells,8.43,1.91,8.43,6.11,5.42,1.91,5.53,2.2,1.66,-0.31,1024,62,1.03,6.26,176,12.88,55,0.0,2.0,803,Clouds,broken clouds,04d,,
7,2025-03-01 12:00:00,1,CLARENDON ROW,Clarendon Row,53.3409,-6.2625,Europe/Dublin,0,2025-03-01 07:12:40,2025-03-01 18:02:26,2025-03-01 07:46:00,2025-03-01 20:25:00,0.06,Expect a day of partly cloudy with rain,9.6,4.91,10.06,4.91,7.05,7.03,7.55,2.78,5.18,3.14,1017,81,6.0,7.06,177,14.87,100,1.0,2.0,500,Rain,light rain,10d,,
8,2025-03-02 12:00:00,1,CLARENDON ROW,Clarendon Row,53.3409,-6.2625,Europe/Dublin,0,2025-03-02 07:10:22,2025-03-02 18:04:19,2025-03-02 07:56:00,2025-03-02 21:58:00,0.09,Expect a day of partly cloudy with clear spells,9.71,2.98,10.67,8.51,8.58,2.98,7.07,5.43,5.88,-0.15,1025,65,3.06,5.77,220,14.74,78,0.0,2.0,803,Clouds,broken clouds,04d,,
9,2025-02-23 12:00:00,2,BLESSINGTON STREET,Blessington Street,53.3568,-6.26814,Europe/Dublin,0,2025-02-23 07:26:16,2025-02-23 17:50:55,2025-02-23 05:38:00,2025-02-23 11:32:00,0.84,Expect a day of partly cloudy with rain,12.07,8.46,12.26,8.46,10.39,10.07,11.63,4.67,9.57,9.14,999,88,9.62,12.14,181,24.92,100,1.0,0.53,501,Rain,moderate rain,10d,,
10,2025-02-24 12:00:00,2,BLESSINGTON STREET,Blessington Street,53.3568,-6.26814,Europe/Dublin,0,2025-02-24 07:24:03,2025-02-24 17:52:51,2025-02-24 06:20:00,2025-02-24 12:47:00,0.87,Expect a day of partly cloudy with rain,9.92,4.44,10.82,4.44,7.19,7.58,7.66,0.41,4.74,4.25,1007,69,4.21,7.87,227,16.09,69,1.0,1.19,501,Rain,moderate rain,10d,,
