,number,contract_name,name,address,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update,lat,lng
0,42,dublin,SMITHFIELD NORTH,Smithfield North,False,False,30,18,12,OPEN,1739507308000,53.349562,-6.278198
1,30,dublin,PARNELL SQUARE NORTH,Parnell Square North,False,False,20,17,3,OPEN,1739507451000,53.3537415547453,-6.26530144781526
2,54,dublin,CLONMEL STREET,Clonmel Street,False,False,33,33,0,OPEN,1739507405000,53.336021,-6.26298
3,108,dublin,AVONDALE ROAD,Avondale Road,False,False,35,26,9,OPEN,1739507334000,53.359405,-6.276142
4,20,dublin,JAMES STREET EAST,James Street East,False,False,30,30,0,OPEN,1739507452000,53.336597,-6.248109
5,56,dublin,MOUNT STREET LOWER,Mount Street Lower,False,False,40,21,19,OPEN,1739507149000,53.33796,-6.24153
6,6,dublin,CHRISTCHURCH PLACE,Christchurch Place,False,False,20,18,2,OPEN,1739507192000,53.343368,-6.27012
7,18,dublin,GRANTHAM STREET,Grantham Street,False,False,30,23,7,OPEN,1739507277000,53.334123,-6.265436
8,32,dublin,PEARSE STREET,Pearse Street,False,False,30,7,23,OPEN,1739507215000,53.344304,-6.250427
9,52,dublin,YORK STREET EAST,York Street East,False,False,32,24,8,OPEN,1739507244000,53.338755,-6.262003
10,48,dublin,EXCISE WALK,Excise Walk,False,False,40,13,27,OPEN,1739507274000,53.347777,-6.244239
11,13,dublin,FITZWILLIAM SQUARE WEST,Fitzwilliam Square West,False,False,30,27,3,OPEN,1739507282000,53.336074,-6.252825
12,43,dublin,PORTOBELLO ROAD,Portobello Road,False,False,30,16,14,OPEN,1739507292000,53.330091,-6.268044
13,31,dublin,PARNELL STREET,Parnell Street,False,False,20,20,0,OPEN,1739507211000,53.350929,-6.265125
14,98,dublin,FREDERICK STREET SOUTH,Frederick Street South,False,False,40,33,7,OPEN,1739507401000,53.341515,-6.256853
15,14,dublin,FOWNES STREET UPPER,Fownes Street Upper,False,False,30,9,21,OPEN,1739507365000,53.344603,-6.263371
16,1,dublin,CLARENDON ROW,Clarendon Row,False,False,31,8,23,OPEN,1739507314000,53.340927,-6.262501
17,23,dublin,CUSTOM HOUSE,Custom House,False,False,30,5,25,OPEN,1739507549000,53.348279,-6.254662
18,106,dublin,RATHDOWN ROAD,Rathdown Road,False,False,40,37,3,OPEN,1739507295000,53.35893,-6.280337
19,112,dublin,NORTH CIRCULAR ROAD (O'CONNELL'S),North Circular Road (O'Connell's),False,False,30,0,30,OPEN,1739507252000,53.357841,-6.251557
20,68,dublin,HANOVER QUAY,Hanover Quay,False,False,40,35,5,OPEN,1739507469000,53.344115,-6.237153
21,74,dublin,OLIVER BOND STREET,Oliver Bond Street,False,False,30,24,6,OPEN,1739507337000,53.343893,-6.280531
22,87,dublin,COLLINS BARRACKS MUSEUM,Collins Barracks Museum,False,False,38,14,24,OPEN,1739507269000,53.347477,-6.28525
23,84,dublin,BROOKFIELD ROAD,Brookfield Road,False,False,30,25,5,OPEN,1739507341000,53.339005,-6.300217
24,90,dublin,BENSON STREET,Benson Street,False,False,40,37,3,OPEN,1739507511000,53.344153,-6.233451
25,11,dublin,EARLSFORT TERRACE,Earlsfort Terrace,False,False,30,30,0,OPEN,1739507168000,53.334295,-6.258503
26,17,dublin,GOLDEN LANE,Golden Lane,False,False,20,18,2,OPEN,1739507273000,53.340803,-6.267732
27,45,dublin,DEVERELL PLACE,Deverell Place,False,False,30,8,22,OPEN,1739507395000,53.351464,-6.255265
28,114,dublin,WILTON TERRACE (PARK),Wilton Terrace (Park),False,False,40,40,0,OPEN,1739507393000,53.333653,-6.248345
29,72,dublin,JOHN STREET WEST,John Street West,False,False,31,18,13,OPEN,1739507272000,53.343105,-6.277167
30,63,dublin,FENIAN STREET,Fenian Street,False,False,35,19,16,OPEN,1739507432000,53.341428,-6.24672
